code,bug type,bug
"SUB BX, AX
INC CX",,0
"MOV AX, CX
MOV DX, AX
POP AX",Uninitialized Register,1
"MOV AX, BX
MOV CX, DX",,0
"JMP label1
MOV AX, BX",,0
"PUSH CX
PUSH DX
POP CX",Stack Misalignment,1
"CALL func
SUB BX, AX",,0
"JMP label1
DEC DX",,0
"RET
TEST AX, AX",,0
"MOV AX, [BX]
ADD AX, CX",,0
"JMP start
start: JMP start",Infinite Loop,1
"MOV CX, DX
ADD AX, CX",Uninitialized Register,1
"MOV AX, [BX]
SUB BX, AX",,0
"INC CX
CALL func",,0
"JMP label1
MOV AX, BX",,0
"PUSH AX
XOR AX, AX",,0
"POP AX
CALL func",,0
"CMP AX, BX
JMP label",Incorrect Flag Usage,1
"SUB BX, AX
ADD AX, CX",,0
"XOR AX, AX
PUSH AX",,0
"CALL func
MOV AX, BX",,0
"MOV AX, CX
MOV DX, AX
POP AX",Uninitialized Register,1
"MOV DX, 0
CMP AX, BX",,0
"INC CX
MOV [BX], AX",,0
"JZ label2
INC CX",,0
"MOV AX, BX
INC CX",,0
"TEST AX, AX
DEC DX",,0
"MOV CX, DX
ADD AX, CX",Uninitialized Register,1
"MOV CX, DX
CMP AX, BX",,0
"JZ label2
POP AX",,0
"MOV AX, CX
MOV DX, AX
POP AX",Uninitialized Register,1
"SUB BX, AX
CALL func",,0
"XOR AX, AX
JZ label2",,0
"PUSH CX
PUSH DX
POP CX",Stack Misalignment,1
"INC CX
DEC DX",,0
"MOV CX, DX
ADD AX, CX",Uninitialized Register,1
"MOV AX, CX
MOV DX, AX
POP AX",Uninitialized Register,1
"POP AX
RET",,0
"PUSH CX
PUSH DX
POP CX",Stack Misalignment,1
"MOV CX, DX
XOR AX, AX",,0
"RET
INC CX",,0
"MOV [BX], AX
MOV AX, [BX]",,0
"MOV [BX], AX
TEST AX, AX",,0
"POP AX
PUSH AX",,0
"JZ label2
CMP AX, BX",,0
"MOV DX, 0
MOV AX, [BX]",,0
"MOV [AX], BX",Memory Error,1
"RET
MOV DX, 0",,0
"MOV [AX], BX",Memory Error,1
"CMP AX, CX
JNZ label",Incorrect Flag Usage,1
